Fecha y hora,Tipo,Medio,Detalle,Valor
27/09/2024 22:10:31,Uso,LINEA E,,-$ 390.00
27/09/2024 7:19:25,Uso,LINEA E,,-$ 390.00
26/09/2024 21:01:50,Uso,LINEA E,,-$ 455.00
26/09/2024 15:23:02,Uso,LINEA E,,-$ 455.00
25/09/2024 21:55:37,Uso,LINEA E,,-$ 455.00
25/09/2024 16:20:15,Uso,LINEA E,,-$ 455.00
25/09/2024 16:13:10,Carga virtual,,,"$ 2,000.00"
24/09/2024 21:58:38,Uso,LINEA E,,-$ 455.00
24/09/2024 14:35:12,Uso,LINEA E,,-$ 455.00
24/09/2024 10:21:51,Carga virtual,,,"$ 2,000.00"
23/09/2024 22:14:01,Uso,LINEA E,,-$ 455.00
23/09/2024 15:43:23,Uso,LINEA B,,-$ 455.00
23/09/2024 15:43:25,Carga,LINEA A,Linea B - Malabia,"$ 1,000.00"
23/09/2024 12:33:23,Uso,LINEA 42,Interno 48,-$ 445.29
20/09/2024 23:04:09,Uso,LINEA C,,-$ 650.00
20/09/2024 21:49:11,Uso,LINEA E,,-$ 455.00
20/09/2024 7:02:44,Carga virtual,,,"$ 2,000.00"
19/09/2024 21:31:25,Uso,LINEA E,,-$ 520.00
19/09/2024 11:08:50,Uso,LINEA E,,-$ 520.00
18/09/2024 21:59:41,Uso,LINEA D,,-$ 520.00
18/09/2024 13:58:39,Uso,LINEA E,,-$ 520.00
17/09/2024 19:38:26,Uso,LINEA E,,-$ 520.00
17/09/2024 13:13:37,Uso,LINEA E,,-$ 520.00
17/09/2024 11:13:14,Carga virtual,,,"$ 3,000.00"
16/09/2024 22:06:51,Uso,LINEA E,,-$ 520.00
16/09/2024 17:56:16,Uso con RED SUBE 1,LINEA B,,-$ 260.00
16/09/2024 17:54:11,Devolución Salida,FFCC MITRE-SUAREZ,,$ 80.00
16/09/2024 17:46:29,Ingreso,FFCC MITRE-SUAREZ,,-$ 360.00
16/09/2024 16:08:26,Devolución Salida con RED SUBE 1,FFCC MITRE-SUAREZ,,$ 0.00
16/09/2024 15:35:17,Ingreso con RED SUBE 1,FFCC MITRE-SUAREZ,,-$ 180.00
16/09/2024 15:00:17,Uso,LINEA E,,-$ 520.00
13/09/2024 22:07:42,Uso,LINEA C,,-$ 650.00
13/09/2024 7:13:53,Uso,LINEA E,,-$ 650.00
13/09/2024 7:00:28,Carga virtual,,,"$ 2,000.00"
12/09/2024 21:37:37,Uso,LINEA E,,-$ 650.00
12/09/2024 14:38:04,Uso,LINEA E,,-$ 650.00
11/09/2024 23:05:12,Uso,LINEA E,,-$ 650.00
11/09/2024 17:29:26,Uso,LINEA E,,-$ 650.00
10/09/2024 21:37:37,Uso,LINEA E,,-$ 650.00
10/09/2024 14:38:52,Uso,LINEA E,,-$ 650.00
09/09/2024 22:18:55,Uso,LINEA E,,-$ 650.00
09/09/2024 13:45:09,Uso,LINEA E,,-$ 650.00
06/09/2024 7:12:44,Uso,LINEA E,,-$ 650.00
05/09/2024 21:46:01,Carga virtual,,,"$ 4,000.00"
05/09/2024 21:16:52,Uso,LINEA E,,-$ 650.00
05/09/2024 15:40:06,Uso,LINEA H,,-$ 650.00
05/09/2024 12:32:19,Uso,LINEA E,,-$ 650.00
04/09/2024 22:20:52,Uso,LINEA E,,-$ 650.00
04/09/2024 13:48:48,Uso,LINEA E,,-$ 650.00
03/09/2024 22:09:29,Uso,LINEA E,,-$ 650.00
03/09/2024 13:44:32,Uso,LINEA E,,-$ 650.00
02/09/2024 22:08:11,Uso,LINEA D,,-$ 650.00
02/09/2024 18:16:36,Uso,LINEA E,,-$ 650.00
01/09/2024 13:21:32,Carga virtual,,,"$ 3,000.00"
01/09/2024 13:21:29,Carga virtual,,,"$ 3,000.00"
30/08/2024 21:49:26,Uso,LINEA E,,-$ 390.00
30/08/2024 7:26:19,Uso,LINEA E,,-$ 390.00
29/08/2024 21:07:55,Uso,LINEA E,,-$ 390.00
29/08/2024 10:28:58,Uso,LINEA E,,-$ 390.00
28/08/2024 22:12:52,Uso,LINEA E,,-$ 390.00
28/08/2024 18:09:37,Uso,LINEA E,,-$ 390.00
28/08/2024 13:29:15,Uso,LINEA E,,-$ 390.00
27/08/2024 21:56:05,Uso,LINEA E,,-$ 390.00
27/08/2024 13:48:03,Uso,LINEA E,,-$ 390.00
27/08/2024 13:39:10,Carga virtual,,,"$ 2,000.00"
26/08/2024 22:09:22,Uso,LINEA E,,-$ 390.00
26/08/2024 18:37:29,Uso,LINEA D,,-$ 455.00
26/08/2024 14:14:48,Uso,LINEA E,,-$ 455.00
23/08/2024 21:57:15,Uso,LINEA E,,-$ 455.00
23/08/2024 7:18:50,Uso,LINEA E,,-$ 455.00
22/08/2024 21:31:35,Uso,LINEA E,,-$ 455.00
22/08/2024 15:16:04,Uso,LINEA H,,-$ 455.00
22/08/2024 13:05:26,Uso,LINEA E,,-$ 455.00
21/08/2024 22:11:46,Uso,LINEA E,,-$ 455.00
21/08/2024 22:11:27,Uso,LINEA E,,-$ 455.00
21/08/2024 14:16:06,Uso,LINEA E,,-$ 455.00
20/08/2024 22:12:34,Uso,LINEA E,,-$ 520.00
20/08/2024 12:29:30,Uso,LINEA E,,-$ 520.00
19/08/2024 22:14:18,Uso,LINEA E,,-$ 520.00
19/08/2024 16:44:01,Uso,LINEA E,,-$ 520.00
16/08/2024 21:49:11,Uso,LINEA E,,-$ 520.00
16/08/2024 7:19:35,Uso,LINEA E,,-$ 520.00
15/08/2024 21:55:58,Uso,LINEA E,,-$ 520.00
15/08/2024 14:34:41,Uso,LINEA E,,-$ 520.00
14/08/2024 17:52:57,Uso,LINEA E,,-$ 520.00
14/08/2024 14:22:18,Uso,LINEA E,,-$ 520.00
13/08/2024 22:16:40,Uso,LINEA D,,-$ 650.00
13/08/2024 14:43:52,Uso,LINEA E,,-$ 650.00
13/08/2024 11:39:02,Uso,LINEA E,,-$ 650.00
12/08/2024 22:06:25,Uso,LINEA E,,-$ 650.00
12/08/2024 18:07:21,Uso,LINEA E,,-$ 650.00
09/08/2024 22:11:17,Uso,LINEA C,,-$ 650.00
09/08/2024 7:10:14,Uso,LINEA E,,-$ 650.00
08/08/2024 21:59:35,Uso,LINEA E,,-$ 650.00
08/08/2024 14:01:53,Uso,LINEA E,,-$ 650.00
07/08/2024 22:19:16,Uso,LINEA E,,-$ 650.00
07/08/2024 17:43:41,Uso,LINEA E,,-$ 650.00
07/08/2024 13:19:06,Uso,LINEA E,,-$ 650.00
06/08/2024 22:20:31,Uso,LINEA E,,-$ 650.00
06/08/2024 14:28:42,Uso,LINEA E,,-$ 650.00
05/08/2024 21:39:47,Uso,LINEA E,,-$ 650.00
05/08/2024 17:30:31,Uso,LINEA E,,-$ 650.00
03/08/2024 20:11:48,Carga virtual,,,"$ 3,000.00"
03/08/2024 20:11:45,Carga virtual,,,"$ 3,000.00"
02/08/2024 16:09:45,Uso,LINEA H,,-$ 650.00
02/08/2024 7:42:30,Uso,LINEA E,,-$ 650.00
01/08/2024 21:29:56,Uso,LINEA E,,-$ 650.00
01/08/2024 10:38:19,Uso,LINEA E,,-$ 650.00
31/07/2024 18:04:57,Uso,LINEA H,,-$ 520.00
31/07/2024 14:33:15,Uso,LINEA E,,-$ 650.00
30/07/2024 19:24:38,Carga virtual,,,"$ 8,000.00"
26/07/2024 13:46:15,Carga virtual,,,"$ 2,000.00"
26/07/2024 13:46:13,Carga virtual,,,"$ 5,000.00"
25/07/2024 21:57:32,Uso,LINEA E,,-$ 650.00
25/07/2024 16:23:58,Uso,LINEA H,,-$ 650.00
25/07/2024 11:34:41,Uso,LINEA E,,-$ 650.00
24/07/2024 17:40:13,Uso,LINEA E,,-$ 650.00
24/07/2024 13:27:02,Uso,LINEA E,,-$ 650.00
24/07/2024 13:14:08,Carga virtual,,,"$ 5,000.00"
24/07/2024 13:14:04,Carga virtual,,,"$ 1,500.00"
24/07/2024 9:49:59,Uso,LINEA E,,-$ 650.00
24/07/2024 9:49:40,Carga,,Subte - Linea E - Jose M. Moreno,"$ 1,000.00"
17/07/2024 14:00:01,Uso,LINEA E,,-$ 650.00